	speaker	domain	language
12296	eerwkx	di kendaraan umum	jawa krama
12297	eerwkx	membaca novel/buku cerita	indonesia
12298	eerwkx	membaca koran	indonesia
12299	eerwkx	membaca majalah	indonesia
12300	eerwkx	mendengar musik	indonesia
12301	eerwkx	mendengar radio	indonesia
12302	eerwkx	menonton tv	indonesia
12303	skiouu	dengan ibu	jawa krama madya
12304	skiouu	dengan bapak	jawa krama madya
12305	skiouu	dengan kakak/adik	ngoko
12306	skiouu	dengan nenek dan kakek	jawa krama inggil
12308	skiouu	dengan sanak saudara (tante, om, sepupu, dll)	jawa krama madya
12309	skiouu	dengan tetangga	jawa krama inggil
12311	skiouu	apabila marah	ngoko
12312	skiouu	dalam mimpi	jawa
12313	skiouu	berhitung	indonesia
12314	skiouu	kirim sms ke keluarga	ngoko
12315	skiouu	kirim sms ke teman	ngoko
12317	skiouu	dalam jejaring sosial (fb)	indonesia
12318	skiouu	dalam jejaring sosial (fb)	jawa
12319	skiouu	berdoa dalam hati	indonesia
12320	skiouu	berdoa di tempat ibadah	arab
12321	skiouu	di rumah	jawa ngoko alus
12322	skiouu	di tempat kerja	indonesia
12323	skiouu	di pasar	jawa krama madya
12324	skiouu	di warung	jawa krama madya
12325	skiouu	di bank	indonesia
12326	skiouu	di kantor pos	indonesia
12327	skiouu	di sd dengan guru	jawa krama inggil
12328	skiouu	di sd dengan teman sekelas	ngoko
12329	skiouu	di sma dengan guru	indonesia
12330	skiouu	di sma dengan teman sekelas	ngoko
12331	skiouu	di kendaraan umum	indonesia
12332	skiouu	membaca novel/buku cerita	indonesia
12333	skiouu	membaca koran	indonesia
12334	skiouu	membaca majalah	indonesia
12335	skiouu	mendengar musik	indonesia
12336	skiouu	mendengar musik	inggris
12337	skiouu	mendengar radio	indonesia
12338	skiouu	menonton tv	indonesia
12339	ukornv	dengan ibu	jawa ngoko
12340	ukornv	dengan bapak	jawa ngoko
12341	ukornv	dengan kakak/adik	jawa ngoko
12342	ukornv	dengan nenek dan kakek	jawa krama
12344	ukornv	dengan sanak saudara (tante, om, sepupu, dll)	jawa ngoko
12345	ukornv	dengan tetangga	jawa krama
12347	ukornv	apabila marah	jawa ngoko
12349	ukornv	berhitung	jawa ngoko
12350	ukornv	kirim sms ke keluarga	jawa krama
12351	ukornv	kirim sms ke teman	jawa ngoko
12352	ukornv	kirim sms ke teman	indonesia
12354	ukornv	dalam jejaring sosial (fb)	indonesia
12355	ukornv	berdoa dalam hati	indonesia
12356	ukornv	berdoa di tempat ibadah	indonesia
12357	ukornv	di rumah	jawa ngoko
12359	ukornv	di pasar	jawa krama
12360	ukornv	di warung	jawa krama
12361	ukornv	di bank	indonesia
12362	ukornv	di kantor pos	indonesia
12363	ukornv	di sd dengan guru	indonesia
12364	ukornv	di sd dengan teman sekelas	jawa ngoko
12365	ukornv	di sma dengan guru	indonesia
12366	ukornv	di sma dengan teman sekelas	jawa ngoko
12367	ukornv	di sma dengan teman sekelas	indonesia
12368	ukornv	di kendaraan umum	indonesia
12369	ukornv	membaca novel/buku cerita	indonesia
12370	ukornv	membaca koran	indonesia
12371	ukornv	membaca majalah	indonesia
12372	ukornv	mendengar musik	indonesia
12373	ukornv	mendengar musik	inggris
12374	ukornv	mendengar radio	indonesia
12375	ukornv	menonton tv	indonesia
12376	wdpemb	dengan ibu	krama
12377	wdpemb	dengan bapak	krama
12378	wdpemb	dengan kakak/adik	ngoko
12379	wdpemb	dengan nenek dan kakek	krama
12381	wdpemb	dengan sanak saudara (tante, om, sepupu, dll)	krama
12382	wdpemb	dengan tetangga	krama
12384	wdpemb	apabila marah	ngoko
12385	wdpemb	dalam mimpi	jawa
12386	wdpemb	berhitung	jawa ngoko
12387	wdpemb	kirim sms ke keluarga	jawa
12388	wdpemb	kirim sms ke teman	jawa
12390	wdpemb	dalam jejaring sosial (fb)	indonesia
12391	wdpemb	berdoa dalam hati	indonesia
12392	wdpemb	berdoa di tempat ibadah	indonesia
12393	wdpemb	di rumah	jawa
12395	wdpemb	di pasar	jawa
12396	wdpemb	di warung	jawa
12397	wdpemb	di bank	indonesia
12398	wdpemb	di kantor pos	indonesia
12399	wdpemb	di sd dengan guru	indonesia
12400	wdpemb	di sd dengan teman sekelas	ngoko
12401	wdpemb	di sma dengan guru	indonesia
12402	wdpemb	di sma dengan teman sekelas	ngoko
12403	wdpemb	di kendaraan umum	indonesia
12404	wdpemb	membaca novel/buku cerita	indonesia
12405	wdpemb	membaca koran	indonesia
12406	wdpemb	membaca majalah	indonesia
12407	wdpemb	mendengar musik	indonesia
12408	wdpemb	mendengar radio	indonesia
12409	wdpemb	menonton tv	indonesia
12410	valrmt	dengan ibu	krama
12411	valrmt	dengan ibu	ngoko alus
12412	valrmt	dengan bapak	krama
12413	valrmt	dengan bapak	ngoko alus
12414	valrmt	dengan kakak/adik	ngoko
12415	valrmt	dengan nenek dan kakek	krama
12416	valrmt	dengan nenek dan kakek	ngoko alus
12418	valrmt	dengan sanak saudara (tante, om, sepupu, dll)	krama
12419	valrmt	dengan sanak saudara (tante, om, sepupu, dll)	ngoko alus
12422	valrmt	apabila marah	ngoko
12423	valrmt	dalam mimpi	ngoko
12424	valrmt	berhitung	ngoko
12425	valrmt	kirim sms ke keluarga	krama
12426	valrmt	kirim sms ke keluarga	ngoko alus
12427	valrmt	kirim sms ke teman	ngoko
12429	valrmt	dalam jejaring sosial (fb)	indonesia
12430	valrmt	dalam jejaring sosial (fb)	ngoko
12431	valrmt	berdoa dalam hati	arab
12432	valrmt	berdoa dalam hati	indonesia
12433	valrmt	berdoa di tempat ibadah	arab
12434	valrmt	berdoa di tempat ibadah	indonesia
12435	valrmt	di rumah	ngoko
12436	valrmt	di tempat kerja	indonesia
12437	valrmt	di tempat kerja	ngoko
12438	valrmt	di tempat kerja	krama
12439	valrmt	di pasar	krama
12440	valrmt	di pasar	ngoko
12441	valrmt	di warung	ngoko
12442	valrmt	di bank	indonesia
12443	valrmt	di kantor pos	indonesia
12444	valrmt	di sd dengan guru	indonesia
12445	valrmt	di sd dengan guru	krama
12446	valrmt	di sd dengan teman sekelas	ngoko
12447	valrmt	di sma dengan guru	indonesia
12448	valrmt	di sma dengan guru	krama
12449	valrmt	di sma dengan teman sekelas	ngoko
12450	valrmt	di kendaraan umum	indonesia
12451	valrmt	di kendaraan umum	krama
12452	valrmt	membaca novel/buku cerita	indonesia
12453	valrmt	membaca koran	indonesia
12454	valrmt	membaca majalah	indonesia
12455	valrmt	mendengar musik	indonesia
12456	valrmt	mendengar musik	inggris
12457	valrmt	mendengar radio	indonesia
12458	valrmt	mendengar radio	inggris
12459	valrmt	menonton tv	indonesia
12460	valrmt	menonton tv	inggris
12461	hmkwvl	dengan ibu	krama
12462	hmkwvl	dengan ibu	ngoko
12463	hmkwvl	dengan bapak	krama
12464	hmkwvl	dengan bapak	ngoko
12465	hmkwvl	dengan kakak/adik	jawa ngoko
12466	hmkwvl	dengan nenek dan kakek	jawa krama
12468	hmkwvl	dengan sanak saudara (tante, om, sepupu, dll)	krama
12469	hmkwvl	dengan sanak saudara (tante, om, sepupu, dll)	ngoko
12470	hmkwvl	dengan sanak saudara (tante, om, sepupu, dll)	jawa
12471	hmkwvl	dengan tetangga	krama
12472	hmkwvl	dengan tetangga	ngoko
12473	hmkwvl	dengan tetangga	jawa
12475	hmkwvl	apabila marah	jawa ngoko
12477	hmkwvl	berhitung	indonesia
12478	hmkwvl	berhitung	jawa
12479	hmkwvl	kirim sms ke keluarga	indonesia
12480	hmkwvl	kirim sms ke keluarga	jawa
12481	hmkwvl	kirim sms ke teman	indonesia
12482	hmkwvl	kirim sms ke teman	jawa
12484	hmkwvl	dalam jejaring sosial (fb)	indonesia
12485	hmkwvl	dalam jejaring sosial (fb)	jawa
12486	hmkwvl	dalam jejaring sosial (fb)	inggris
12487	hmkwvl	berdoa dalam hati	indonesia
12488	hmkwvl	berdoa dalam hati	jawa
12489	hmkwvl	berdoa di tempat ibadah	arab
12490	hmkwvl	berdoa di tempat ibadah	indonesia
12491	hmkwvl	berdoa di tempat ibadah	jawa
12492	hmkwvl	di rumah	indonesia
12493	hmkwvl	di rumah	ngoko
12494	hmkwvl	di rumah	jawa
12495	hmkwvl	di tempat kerja	indonesia
12496	hmkwvl	di tempat kerja	ngoko
12497	hmkwvl	di tempat kerja	jawa
12498	hmkwvl	di pasar	indonesia
12499	hmkwvl	di pasar	ngoko
12500	hmkwvl	di pasar	jawa
12501	hmkwvl	di warung	indonesia
12502	hmkwvl	di warung	ngoko
12503	hmkwvl	di warung	jawa
12504	hmkwvl	di bank	indonesia
12505	hmkwvl	di kantor pos	indonesia
12506	hmkwvl	di sd dengan guru	indonesia
12507	hmkwvl	di sd dengan guru	ngoko
12508	hmkwvl	di sd dengan guru	jawa
12509	hmkwvl	di sd dengan teman sekelas	indonesia
12510	hmkwvl	di sd dengan teman sekelas	jawa
12511	hmkwvl	di sma dengan guru	indonesia
12512	hmkwvl	di sma dengan guru	jawa
12513	hmkwvl	di sma dengan teman sekelas	indonesia
12514	hmkwvl	di sma dengan teman sekelas	jawa
12515	hmkwvl	di kendaraan umum	indonesia
12516	hmkwvl	di kendaraan umum	jawa
12517	hmkwvl	membaca novel/buku cerita	indonesia
12518	hmkwvl	membaca novel/buku cerita	jawa
12519	hmkwvl	membaca novel/buku cerita	inggris
12520	hmkwvl	membaca koran	indonesia
12521	hmkwvl	membaca koran	inggris
12522	hmkwvl	membaca majalah	indonesia
12523	hmkwvl	membaca majalah	jawa
12524	hmkwvl	membaca majalah	inggris
12525	hmkwvl	mendengar musik	indonesia
12526	hmkwvl	mendengar musik	jawa
12527	hmkwvl	mendengar musik	inggris
12528	hmkwvl	mendengar radio	indonesia
12529	hmkwvl	mendengar radio	jawa
12530	hmkwvl	mendengar radio	inggris
12531	hmkwvl	menonton tv	indonesia
12532	hmkwvl	menonton tv	jawa
12533	hmkwvl	menonton tv	inggris
12534	gokdti	dengan ibu	jawa ngoko
12535	gokdti	dengan bapak	jawa ngoko
12536	gokdti	dengan kakak/adik	jawa ngoko
