	speaker	domain	language
18223	ypaucs	di sma dengan teman sekelas	jawa
18224	ypaucs	di kendaraan umum	indonesia
18225	ypaucs	di kendaraan umum	jawa
18226	ypaucs	membaca novel/buku cerita	indonesia
18227	ypaucs	membaca novel/buku cerita	inggris
18228	ypaucs	membaca koran	indonesia
18229	ypaucs	membaca majalah	indonesia
18230	ypaucs	mendengar musik	arab
18231	ypaucs	mendengar musik	inggris
18232	ypaucs	mendengar musik	indonesia
18233	ypaucs	mendengar radio	indonesia
18234	ypaucs	menonton tv	indonesia
18235	ypaucs	menonton tv	inggris
18236	zyqgxz	dengan ibu	indonesia
18237	zyqgxz	dengan ibu	jawa
18238	zyqgxz	dengan bapak	indonesia
18239	zyqgxz	dengan bapak	jawa
18240	zyqgxz	dengan kakak/adik	indonesia
18241	zyqgxz	dengan kakak/adik	jawa
18244	zyqgxz	dengan sanak saudara (tante, om, sepupu, dll)	indonesia
18245	zyqgxz	dengan sanak saudara (tante, om, sepupu, dll)	jawa
18246	zyqgxz	dengan tetangga	indonesia
18247	zyqgxz	dengan tetangga	jawa
18249	zyqgxz	apabila marah	indonesia
18250	zyqgxz	apabila marah	jawa
18252	zyqgxz	berhitung	indonesia
18253	zyqgxz	kirim sms ke keluarga	indonesia
18254	zyqgxz	kirim sms ke keluarga	jawa
18255	zyqgxz	kirim sms ke teman	indonesia
18257	zyqgxz	dalam jejaring sosial (fb)	indonesia
18258	zyqgxz	dalam jejaring sosial (fb)	jawa
18259	zyqgxz	berdoa dalam hati	indonesia
18260	zyqgxz	berdoa dalam hati	jawa
18261	zyqgxz	berdoa di tempat ibadah	indonesia
18262	zyqgxz	di rumah	indonesia
18263	zyqgxz	di rumah	jawa
18264	zyqgxz	di tempat kerja	indonesia
18265	zyqgxz	di tempat kerja	jawa
18266	zyqgxz	di pasar	jawa
18267	zyqgxz	di warung	jawa
18268	zyqgxz	di bank	indonesia
18269	zyqgxz	di kantor pos	indonesia
18270	zyqgxz	di sd dengan guru	indonesia
18271	zyqgxz	di sd dengan teman sekelas	indonesia
18272	zyqgxz	di sd dengan teman sekelas	jawa
18273	zyqgxz	di sma dengan guru	indonesia
18274	zyqgxz	di sma dengan teman sekelas	indonesia
18275	zyqgxz	di sma dengan teman sekelas	jawa
18276	zyqgxz	di kendaraan umum	indonesia
18277	zyqgxz	membaca novel/buku cerita	indonesia
18278	zyqgxz	membaca koran	indonesia
18279	zyqgxz	membaca majalah	indonesia
18280	zyqgxz	mendengar musik	indonesia
18281	zyqgxz	mendengar radio	indonesia
18282	zyqgxz	menonton tv	indonesia
18283	myclsz	dengan ibu	indonesia
18284	myclsz	dengan ibu	jawa
18285	myclsz	dengan bapak	indonesia
18286	myclsz	dengan bapak	jawa
18287	myclsz	dengan kakak/adik	jawa
18288	myclsz	dengan nenek dan kakek	indonesia
18289	myclsz	dengan nenek dan kakek	jawa
18291	myclsz	dengan sanak saudara (tante, om, sepupu, dll)	indonesia
18292	myclsz	dengan tetangga	indonesia
18293	myclsz	dengan tetangga	jawa
18294	myclsz	dengan pembantu	indonesia
18295	myclsz	dengan pembantu	jawa
18296	myclsz	apabila marah	indonesia
18297	myclsz	apabila marah	jawa
18299	myclsz	berhitung	indonesia
18300	myclsz	berhitung	jawa
18301	myclsz	kirim sms ke keluarga	indonesia
18302	myclsz	kirim sms ke teman	indonesia
18303	myclsz	kirim sms ke teman	jawa
18305	myclsz	dalam jejaring sosial (fb)	indonesia
18306	myclsz	dalam jejaring sosial (fb)	jawa
18307	myclsz	berdoa dalam hati	indonesia
18308	myclsz	berdoa di tempat ibadah	indonesia
18309	myclsz	di rumah	indonesia
18310	myclsz	di rumah	jawa
18313	myclsz	di warung	jawa
18314	myclsz	di bank	indonesia
18316	myclsz	di sd dengan guru	indonesia
18317	myclsz	di sd dengan teman sekelas	jawa
18318	myclsz	di sma dengan guru	indonesia
18319	myclsz	di sma dengan teman sekelas	jawa
18320	myclsz	di kendaraan umum	jawa
18321	myclsz	membaca novel/buku cerita	indonesia
18322	myclsz	membaca koran	indonesia
18323	myclsz	membaca majalah	indonesia
18324	myclsz	mendengar musik	indonesia
18325	myclsz	mendengar radio	indonesia
18326	myclsz	menonton tv	indonesia
18327	tjxpqu	dengan ibu	kromo
18328	tjxpqu	dengan bapak	kromo
18329	tjxpqu	dengan kakak/adik	jawa
18330	tjxpqu	dengan nenek dan kakek	kromo
18332	tjxpqu	dengan sanak saudara (tante, om, sepupu, dll)	kromo
18333	tjxpqu	dengan sanak saudara (tante, om, sepupu, dll)	jawa
18334	tjxpqu	dengan tetangga	kromo
18335	tjxpqu	dengan pembantu	indonesia
18336	tjxpqu	apabila marah	indonesia
18337	tjxpqu	apabila marah	jawa
18338	tjxpqu	dalam mimpi	indonesia
18339	tjxpqu	dalam mimpi	jawa
18340	tjxpqu	berhitung	kromo
18341	tjxpqu	berhitung	indonesia
18342	tjxpqu	berhitung	jawa
18343	tjxpqu	kirim sms ke keluarga	indonesia
18344	tjxpqu	kirim sms ke teman	indonesia
18345	tjxpqu	kirim sms ke teman	jawa
18347	tjxpqu	dalam jejaring sosial (fb)	indonesia
18348	tjxpqu	dalam jejaring sosial (fb)	jawa
18349	tjxpqu	berdoa dalam hati	indonesia
18350	tjxpqu	berdoa dalam hati	jawa
18351	tjxpqu	berdoa di tempat ibadah	indonesia
18352	tjxpqu	di rumah	kromo
18353	tjxpqu	di rumah	indonesia
18354	tjxpqu	di rumah	jawa
18355	tjxpqu	di tempat kerja	indonesia
18356	tjxpqu	di tempat kerja	jawa
18357	tjxpqu	di pasar	kromo
18358	tjxpqu	di warung	kromo
18359	tjxpqu	di bank	indonesia
18360	tjxpqu	di kantor pos	indonesia
18361	tjxpqu	di sd dengan guru	indonesia
18362	tjxpqu	di sd dengan teman sekelas	indonesia
18363	tjxpqu	di sd dengan teman sekelas	jawa
18364	tjxpqu	di sma dengan guru	indonesia
18365	tjxpqu	di sma dengan teman sekelas	indonesia
18366	tjxpqu	di sma dengan teman sekelas	jawa
18367	tjxpqu	di kendaraan umum	indonesia
18368	tjxpqu	di kendaraan umum	kromo
18369	tjxpqu	membaca novel/buku cerita	indonesia
18370	tjxpqu	membaca koran	indonesia
18371	tjxpqu	membaca majalah	indonesia
18372	tjxpqu	mendengar musik	indonesia
18373	tjxpqu	mendengar musik	inggris
18374	tjxpqu	mendengar radio	indonesia
18375	tjxpqu	menonton tv	indonesia
18376	tjxpqu	menonton tv	inggris
18377	ppufzj	dengan ibu	jawa
18378	ppufzj	dengan bapak	jawa
18379	ppufzj	dengan kakak/adik	jawa
18380	ppufzj	dengan nenek dan kakek	indonesia
18382	ppufzj	dengan sanak saudara (tante, om, sepupu, dll)	indonesia
18383	ppufzj	dengan tetangga	indonesia
18384	ppufzj	dengan tetangga	jawa
18386	ppufzj	apabila marah	jawa
18387	ppufzj	dalam mimpi	jawa
18388	ppufzj	berhitung	indonesia
18389	ppufzj	kirim sms ke keluarga	indonesia
18390	ppufzj	kirim sms ke teman	indonesia
18391	ppufzj	kirim sms ke teman	jawa
18393	ppufzj	dalam jejaring sosial (fb)	indonesia
18394	ppufzj	berdoa dalam hati	indonesia
18395	ppufzj	berdoa di tempat ibadah	indonesia
18396	ppufzj	di rumah	jawa
18398	ppufzj	di pasar	jawa
18399	ppufzj	di warung	indonesia
18400	ppufzj	di bank	indonesia
18401	ppufzj	di kantor pos	indonesia
18402	ppufzj	di sd dengan guru	indonesia
18403	ppufzj	di sd dengan teman sekelas	jawa
18404	ppufzj	di sma dengan guru	indonesia
18405	ppufzj	di sma dengan teman sekelas	jawa
18406	ppufzj	di kendaraan umum	jawa
18407	ppufzj	membaca novel/buku cerita	indonesia
18408	ppufzj	membaca novel/buku cerita	inggris
18409	ppufzj	membaca koran	indonesia
18410	ppufzj	membaca majalah	indonesia
18411	ppufzj	membaca majalah	inggris
18412	ppufzj	mendengar musik	indonesia
18413	ppufzj	mendengar musik	inggris
18415	ppufzj	menonton tv	indonesia
18416	ppufzj	menonton tv	inggris
18417	hnrlwv	dengan ibu	indonesia
18418	hnrlwv	dengan ibu	jawa
18419	hnrlwv	dengan bapak	indonesia
18420	hnrlwv	dengan kakak/adik	indonesia
18421	hnrlwv	dengan kakak/adik	jawa
18422	hnrlwv	dengan nenek dan kakek	indonesia
18423	hnrlwv	dengan nenek dan kakek	jawa
18425	hnrlwv	dengan sanak saudara (tante, om, sepupu, dll)	indonesia
18426	hnrlwv	dengan sanak saudara (tante, om, sepupu, dll)	inggris
18427	hnrlwv	dengan tetangga	indonesia
18428	hnrlwv	dengan tetangga	jawa
18429	hnrlwv	dengan pembantu	indonesia
18430	hnrlwv	dengan pembantu	jawa
18431	hnrlwv	apabila marah	indonesia
18432	hnrlwv	apabila marah	jawa
18433	hnrlwv	apabila marah	inggris
18434	hnrlwv	dalam mimpi	indonesia
18435	hnrlwv	berhitung	indonesia
18436	hnrlwv	berhitung	jawa
18437	hnrlwv	berhitung	inggris
18438	hnrlwv	kirim sms ke keluarga	indonesia
18439	hnrlwv	kirim sms ke keluarga	inggris
18440	hnrlwv	kirim sms ke teman	indonesia
18441	hnrlwv	kirim sms ke teman	korea
18442	hnrlwv	kirim sms ke teman	inggris
18444	hnrlwv	dalam jejaring sosial (fb)	indonesia
18445	hnrlwv	dalam jejaring sosial (fb)	inggris
18446	hnrlwv	berdoa dalam hati	arab
18447	hnrlwv	berdoa dalam hati	indonesia
18448	hnrlwv	berdoa di tempat ibadah	arab
18449	hnrlwv	berdoa di tempat ibadah	indonesia
18450	hnrlwv	di rumah	indonesia
18451	hnrlwv	di rumah	jawa
18453	hnrlwv	di pasar	indonesia
18454	hnrlwv	di pasar	jawa
18455	hnrlwv	di warung	indonesia
18456	hnrlwv	di warung	jawa
18457	hnrlwv	di bank	indonesia
18458	hnrlwv	di kantor pos	indonesia
18459	hnrlwv	di sd dengan guru	indonesia
18460	hnrlwv	di sd dengan teman sekelas	indonesia
18461	hnrlwv	di sd dengan teman sekelas	jawa
18462	hnrlwv	di sma dengan guru	indonesia
18463	hnrlwv	di sma dengan teman sekelas	indonesia
18464	hnrlwv	di sma dengan teman sekelas	jawa
18465	hnrlwv	di kendaraan umum	indonesia
18466	hnrlwv	di kendaraan umum	jawa
18467	hnrlwv	membaca novel/buku cerita	indonesia
18468	hnrlwv	membaca novel/buku cerita	inggris
18469	hnrlwv	membaca koran	indonesia
18470	hnrlwv	membaca koran	inggris
18471	hnrlwv	membaca majalah	indonesia
18472	hnrlwv	membaca majalah	inggris
18473	hnrlwv	mendengar musik	indonesia
18474	hnrlwv	mendengar musik	korea
18475	hnrlwv	mendengar musik	jepang
18476	hnrlwv	mendengar musik	inggris
18477	hnrlwv	mendengar radio	indonesia
18478	hnrlwv	mendengar radio	inggris
18479	hnrlwv	menonton tv	indonesia
18480	hnrlwv	menonton tv	korea
18481	hnrlwv	menonton tv	jepang
18482	hnrlwv	menonton tv	inggris
18483	qqlrth	dengan ibu	melayu
18484	qqlrth	dengan bapak	melayu
18485	qqlrth	dengan kakak/adik	melayu
18486	qqlrth	dengan nenek dan kakek	jawa
18488	qqlrth	dengan sanak saudara (tante, om, sepupu, dll)	melayu
18489	qqlrth	dengan tetangga	melayu
18491	qqlrth	apabila marah	melayu
18493	qqlrth	berhitung	indonesia
18494	qqlrth	kirim sms ke keluarga	jawa
18495	qqlrth	kirim sms ke keluarga	melayu
18496	qqlrth	kirim sms ke teman	jawa
18497	qqlrth	kirim sms ke teman	melayu
18499	qqlrth	dalam jejaring sosial (fb)	indonesia
18500	qqlrth	dalam jejaring sosial (fb)	inggris
18501	qqlrth	berdoa dalam hati	indonesia
18502	qqlrth	berdoa di tempat ibadah	indonesia
18503	qqlrth	berdoa di tempat ibadah	jawa
18504	qqlrth	di rumah	melayu
18506	qqlrth	di pasar	jawa
18507	qqlrth	di warung	indonesia
18508	qqlrth	di bank	indonesia
18510	qqlrth	di sd dengan guru	melayu
18511	qqlrth	di sd dengan teman sekelas	melayu
18512	qqlrth	di sma dengan guru	melayu
18513	qqlrth	di sma dengan teman sekelas	melayu
18514	qqlrth	di kendaraan umum	melayu
18515	qqlrth	membaca novel/buku cerita	indonesia
18516	qqlrth	membaca koran	indonesia
18517	qqlrth	membaca majalah	indonesia
18518	qqlrth	mendengar musik	indonesia
18519	qqlrth	mendengar musik	inggris
18520	qqlrth	mendengar radio	indonesia
18521	qqlrth	menonton tv	indonesia
18522	qqlrth	menonton tv	inggris
18523	wetmod	dengan ibu	indonesia
18524	wetmod	dengan ibu	jawa
18525	wetmod	dengan bapak	indonesia
18526	wetmod	dengan bapak	jawa
18527	wetmod	dengan kakak/adik	jawa
18528	wetmod	dengan nenek dan kakek	indonesia
18529	wetmod	dengan nenek dan kakek	jawa
18531	wetmod	dengan sanak saudara (tante, om, sepupu, dll)	indonesia
18532	wetmod	dengan sanak saudara (tante, om, sepupu, dll)	jawa
18533	wetmod	dengan tetangga	indonesia
18534	wetmod	dengan pembantu	indonesia
18535	wetmod	dengan pembantu	jawa
18536	wetmod	apabila marah	jawa
18538	wetmod	berhitung	indonesia
18539	wetmod	berhitung	jawa
18540	wetmod	kirim sms ke keluarga	indonesia
18541	wetmod	kirim sms ke teman	jawa
18543	wetmod	dalam jejaring sosial (fb)	indonesia
18544	wetmod	dalam jejaring sosial (fb)	inggris
18545	wetmod	berdoa dalam hati	indonesia
18546	wetmod	berdoa di tempat ibadah	indonesia
18547	wetmod	di rumah	indonesia
18548	wetmod	di rumah	jawa
18549	wetmod	di tempat kerja	indonesia
18550	wetmod	di pasar	indonesia
18551	wetmod	di pasar	jawa
18552	wetmod	di warung	indonesia
18553	wetmod	di bank	indonesia
18554	wetmod	di kantor pos	indonesia
18555	wetmod	di sd dengan guru	indonesia
18556	wetmod	di sd dengan teman sekelas	indonesia
18557	wetmod	di sd dengan teman sekelas	jawa
18558	wetmod	di sma dengan guru	indonesia
18559	wetmod	di sma dengan teman sekelas	jawa
18560	wetmod	di kendaraan umum	indonesia
18561	wetmod	membaca novel/buku cerita	indonesia
18562	wetmod	membaca koran	indonesia
18563	wetmod	membaca majalah	indonesia
18564	wetmod	membaca majalah	inggris
18565	wetmod	mendengar musik	korea
18566	wetmod	mendengar musik	india
18567	wetmod	mendengar musik	inggris
18569	wetmod	menonton tv	korea
18570	wetmod	menonton tv	indonesia
18571	ocxgmc	dengan ibu	indonesia
18572	ocxgmc	dengan bapak	indonesia
18574	ocxgmc	dengan nenek dan kakek	indonesia
18576	ocxgmc	dengan sanak saudara (tante, om, sepupu, dll)	indonesia
18577	ocxgmc	dengan tetangga	indonesia
18579	ocxgmc	apabila marah	indonesia
18580	ocxgmc	apabila marah	jawa
18581	ocxgmc	dalam mimpi	indonesia
18582	ocxgmc	dalam mimpi	inggris
18583	ocxgmc	berhitung	indonesia
18584	ocxgmc	kirim sms ke keluarga	indonesia
18585	ocxgmc	kirim sms ke teman	indonesia
18587	ocxgmc	dalam jejaring sosial (fb)	indonesia
18588	ocxgmc	dalam jejaring sosial (fb)	inggris
18589	ocxgmc	berdoa dalam hati	indonesia
18590	ocxgmc	berdoa di tempat ibadah	indonesia
18591	ocxgmc	di rumah	indonesia
18592	ocxgmc	di rumah	jawa
18594	ocxgmc	di pasar	indonesia
18595	ocxgmc	di warung	indonesia
18596	ocxgmc	di bank	indonesia
18597	ocxgmc	di kantor pos	indonesia
18598	ocxgmc	di sd dengan guru	indonesia
18599	ocxgmc	di sd dengan teman sekelas	indonesia
18600	ocxgmc	di sd dengan teman sekelas	jawa
18601	ocxgmc	di sma dengan guru	indonesia
18602	ocxgmc	di sma dengan teman sekelas	indonesia
18603	ocxgmc	di sma dengan teman sekelas	jawa
18604	ocxgmc	di kendaraan umum	indonesia
18605	ocxgmc	membaca novel/buku cerita	indonesia
18606	ocxgmc	membaca novel/buku cerita	inggris
18607	ocxgmc	membaca koran	indonesia
18608	ocxgmc	membaca majalah	indonesia
18609	ocxgmc	mendengar musik	inggris
18610	ocxgmc	mendengar radio	indonesia
18611	ocxgmc	mendengar radio	inggris
18612	ocxgmc	menonton tv	indonesia
18613	gpbfuk	dengan ibu	jawa
18614	gpbfuk	dengan bapak	jawa
18615	gpbfuk	dengan kakak/adik	jawa
18616	gpbfuk	dengan nenek dan kakek	jawa
18618	gpbfuk	dengan sanak saudara (tante, om, sepupu, dll)	jawa
18619	gpbfuk	dengan tetangga	jawa
18620	gpbfuk	dengan pembantu	jawa
18621	gpbfuk	apabila marah	jawa
18623	gpbfuk	berhitung	indonesia
18624	gpbfuk	kirim sms ke keluarga	jawa
18625	gpbfuk	kirim sms ke teman	indonesia
18627	gpbfuk	dalam jejaring sosial (fb)	indonesia
18628	gpbfuk	dalam jejaring sosial (fb)	jawa
18629	gpbfuk	berdoa dalam hati	indonesia
18630	gpbfuk	berdoa di tempat ibadah	indonesia
18631	gpbfuk	di rumah	jawa
18632	gpbfuk	di tempat kerja	jawa
18633	gpbfuk	di pasar	jawa
18634	gpbfuk	di warung	jawa
18635	gpbfuk	di bank	indonesia
18636	gpbfuk	di kantor pos	indonesia
18637	gpbfuk	di sd dengan guru	indonesia
18638	gpbfuk	di sd dengan teman sekelas	jawa
18639	gpbfuk	di sma dengan guru	indonesia
18640	gpbfuk	di sma dengan teman sekelas	jawa
18641	gpbfuk	di kendaraan umum	jawa
18645	gpbfuk	mendengar musik	indonesia
18646	gpbfuk	mendengar radio	indonesia
18647	gpbfuk	menonton tv	indonesia
18648	lzjeed	dengan ibu	indonesia
18649	lzjeed	dengan bapak	indonesia
18650	lzjeed	dengan kakak/adik	jawa
18651	lzjeed	dengan nenek dan kakek	jawa krama
18653	lzjeed	dengan sanak saudara (tante, om, sepupu, dll)	indonesia
18654	lzjeed	dengan tetangga	jawa
18655	lzjeed	dengan pembantu	jawa
18656	lzjeed	apabila marah	jawa
18657	lzjeed	dalam mimpi	jawa
18658	lzjeed	berhitung	indonesia
18659	lzjeed	kirim sms ke keluarga	indonesia
18660	lzjeed	kirim sms ke teman	indonesia
18662	lzjeed	dalam jejaring sosial (fb)	indonesia
18663	lzjeed	berdoa dalam hati	indonesia
18664	lzjeed	berdoa di tempat ibadah	indonesia
18665	lzjeed	di rumah	jawa
18667	lzjeed	di pasar	jawa
18668	lzjeed	di warung	indonesia
18669	lzjeed	di bank	indonesia
18670	lzjeed	di kantor pos	indonesia
18671	lzjeed	di sd dengan guru	indonesia
18672	lzjeed	di sd dengan teman sekelas	jawa
18673	lzjeed	di sma dengan guru	indonesia
18674	lzjeed	di sma dengan teman sekelas	jawa
18675	lzjeed	di kendaraan umum	indonesia
18676	lzjeed	membaca novel/buku cerita	indonesia
18677	lzjeed	membaca koran	indonesia
18678	lzjeed	membaca majalah	indonesia
18679	lzjeed	mendengar musik	indonesia
18680	lzjeed	mendengar radio	indonesia
18681	lzjeed	menonton tv	indonesia
18682	qvzcju	dengan ibu	indonesia
18683	qvzcju	dengan ibu	jawa
18684	qvzcju	dengan bapak	indonesia
18685	qvzcju	dengan bapak	jawa
18686	qvzcju	dengan kakak/adik	jawa
18687	qvzcju	dengan nenek dan kakek	jawa kromo inggil
18689	qvzcju	dengan sanak saudara (tante, om, sepupu, dll)	jawa kromo inggil
18692	qvzcju	apabila marah	jawa ngoko
18694	qvzcju	berhitung	indonesia
18695	qvzcju	kirim sms ke keluarga	indonesia
18696	qvzcju	kirim sms ke teman	indonesia
18698	qvzcju	dalam jejaring sosial (fb)	indonesia
18699	qvzcju	berdoa dalam hati	indonesia
18700	qvzcju	berdoa di tempat ibadah	indonesia
18701	qvzcju	di rumah	indonesia
18702	qvzcju	di rumah	jawa
18703	qvzcju	di tempat kerja	indonesia
18704	qvzcju	di tempat kerja	jawa
18705	qvzcju	di pasar	jawa
18706	qvzcju	di warung	jawa
18707	qvzcju	di bank	indonesia
18708	qvzcju	di kantor pos	indonesia
18709	qvzcju	di sd dengan guru	indonesia
18710	qvzcju	di sd dengan teman sekelas	jawa
18711	qvzcju	di sma dengan guru	indonesia
18712	qvzcju	di sma dengan teman sekelas	jawa
18713	qvzcju	di kendaraan umum	jawa
18714	qvzcju	membaca novel/buku cerita	indonesia
18715	qvzcju	membaca koran	indonesia
18716	qvzcju	membaca majalah	indonesia
18717	qvzcju	mendengar musik	inggris
18718	qvzcju	mendengar radio	indonesia
18719	qvzcju	menonton tv	indonesia
18720	qvzcju	menonton tv	inggris
18721	jwiccr	dengan ibu	jawa
18722	jwiccr	dengan bapak	jawa
18723	jwiccr	dengan kakak/adik	jawa
18724	jwiccr	dengan nenek dan kakek	jawa
18726	jwiccr	dengan sanak saudara (tante, om, sepupu, dll)	indonesia
18727	jwiccr	dengan sanak saudara (tante, om, sepupu, dll)	jawa
18728	jwiccr	dengan tetangga	jawa
18730	jwiccr	apabila marah	jawa
18731	jwiccr	dalam mimpi	indonesia
18732	jwiccr	dalam mimpi	jawa
18733	jwiccr	berhitung	indonesia
18734	jwiccr	berhitung	jawa
18735	jwiccr	kirim sms ke keluarga	indonesia
18736	jwiccr	kirim sms ke keluarga	jawa
18737	jwiccr	kirim sms ke teman	indonesia
18738	jwiccr	kirim sms ke teman	jawa
18740	jwiccr	dalam jejaring sosial (fb)	indonesia
18741	jwiccr	dalam jejaring sosial (fb)	jawa
18742	jwiccr	berdoa dalam hati	indonesia
18743	jwiccr	berdoa di tempat ibadah	arab
18744	jwiccr	berdoa di tempat ibadah	indonesia
18745	jwiccr	di rumah	jawa
18746	jwiccr	di tempat kerja	indonesia
18747	jwiccr	di tempat kerja	jawa
18748	jwiccr	di pasar	jawa
18749	jwiccr	di warung	jawa
18750	jwiccr	di bank	indonesia
18751	jwiccr	di kantor pos	indonesia
18752	jwiccr	di sd dengan guru	indonesia
18753	jwiccr	di sd dengan guru	jawa
18754	jwiccr	di sd dengan teman sekelas	indonesia
18755	jwiccr	di sd dengan teman sekelas	jawa
18756	jwiccr	di sma dengan guru	indonesia
18757	jwiccr	di sma dengan teman sekelas	indonesia
18758	jwiccr	di sma dengan teman sekelas	jawa
18759	jwiccr	di kendaraan umum	indonesia
18760	jwiccr	di kendaraan umum	jawa
18761	jwiccr	membaca novel/buku cerita	indonesia
18762	jwiccr	membaca novel/buku cerita	inggris
18763	jwiccr	membaca koran	indonesia
18764	jwiccr	membaca majalah	indonesia
18765	jwiccr	membaca majalah	inggris
18766	jwiccr	mendengar musik	indonesia
18767	jwiccr	mendengar musik	inggris
18768	jwiccr	mendengar radio	indonesia
18769	jwiccr	mendengar radio	inggris
18770	jwiccr	menonton tv	indonesia
18771	ezmsgc	dengan ibu	jawa
18772	ezmsgc	dengan bapak	jawa
18773	ezmsgc	dengan kakak/adik	jawa
18774	ezmsgc	dengan nenek dan kakek	jawa
18776	ezmsgc	dengan sanak saudara (tante, om, sepupu, dll)	jawa
18777	ezmsgc	dengan tetangga	jawa
18779	ezmsgc	apabila marah	jawa
18781	ezmsgc	berhitung	indonesia
18782	ezmsgc	berhitung	jawa
18783	ezmsgc	kirim sms ke keluarga	indonesia
18784	ezmsgc	kirim sms ke keluarga	jawa
18785	ezmsgc	kirim sms ke teman	indonesia
18786	ezmsgc	kirim sms ke teman	jawa
18788	ezmsgc	dalam jejaring sosial (fb)	indonesia
18789	ezmsgc	dalam jejaring sosial (fb)	jawa
18790	ezmsgc	berdoa dalam hati	indonesia
18791	ezmsgc	berdoa di tempat ibadah	indonesia
18792	ezmsgc	di rumah	jawa
18794	ezmsgc	di pasar	indonesia
18795	ezmsgc	di pasar	jawa
18796	ezmsgc	di warung	indonesia
18797	ezmsgc	di warung	jawa
18798	ezmsgc	di bank	indonesia
18799	ezmsgc	di kantor pos	indonesia
18800	ezmsgc	di sd dengan guru	indonesia
18801	ezmsgc	di sd dengan teman sekelas	jawa
18802	ezmsgc	di sma dengan guru	indonesia
18803	ezmsgc	di sma dengan teman sekelas	jawa
18804	ezmsgc	di kendaraan umum	indonesia
18805	ezmsgc	di kendaraan umum	jawa
18806	ezmsgc	membaca novel/buku cerita	indonesia
18807	ezmsgc	membaca koran	indonesia
18808	ezmsgc	membaca majalah	indonesia
18809	ezmsgc	mendengar musik	indonesia
18810	ezmsgc	mendengar musik	korea
18811	ezmsgc	mendengar musik	inggris
18812	ezmsgc	mendengar radio	indonesia
18813	ezmsgc	menonton tv	indonesia
18814	ezmsgc	menonton tv	korea
18815	ezmsgc	menonton tv	inggris
18816	dfbdcn	dengan ibu	jawa
18817	dfbdcn	dengan bapak	jawa
18818	dfbdcn	dengan kakak/adik	jawa
18819	dfbdcn	dengan nenek dan kakek	jawa
18821	dfbdcn	dengan sanak saudara (tante, om, sepupu, dll)	indonesia
18822	dfbdcn	dengan tetangga	indonesia
18823	dfbdcn	dengan tetangga	jawa
18825	dfbdcn	apabila marah	jawa
18827	dfbdcn	berhitung	indonesia
18828	dfbdcn	berhitung	jawa
18829	dfbdcn	kirim sms ke keluarga	indonesia
18830	dfbdcn	kirim sms ke teman	indonesia
18832	dfbdcn	dalam jejaring sosial (fb)	indonesia
18833	dfbdcn	berdoa dalam hati	indonesia
18834	dfbdcn	berdoa di tempat ibadah	indonesia
18835	dfbdcn	di rumah	indonesia
18836	dfbdcn	di rumah	jawa
18838	dfbdcn	di pasar	jawa
18839	dfbdcn	di warung	jawa
18840	dfbdcn	di bank	indonesia
18841	dfbdcn	di kantor pos	indonesia
18842	dfbdcn	di sd dengan guru	indonesia
18843	dfbdcn	di sd dengan teman sekelas	indonesia
18844	dfbdcn	di sd dengan teman sekelas	jawa
18845	dfbdcn	di sma dengan guru	indonesia
18846	dfbdcn	di sma dengan teman sekelas	indonesia
18847	dfbdcn	di sma dengan teman sekelas	jawa
18848	dfbdcn	di kendaraan umum	indonesia
18849	dfbdcn	membaca novel/buku cerita	indonesia
18850	dfbdcn	membaca koran	indonesia
18851	dfbdcn	membaca majalah	indonesia
18852	dfbdcn	mendengar musik	indonesia
18853	dfbdcn	mendengar musik	korea
18854	dfbdcn	mendengar musik	inggris
18855	dfbdcn	mendengar radio	indonesia
18856	dfbdcn	menonton tv	indonesia
18857	dfbdcn	menonton tv	korea
18858	dfbdcn	menonton tv	jepang
18859	dfbdcn	menonton tv	inggris
18860	rjaplo	dengan ibu	jawa
18861	rjaplo	dengan bapak	jawa
18862	rjaplo	dengan kakak/adik	jawa
18863	rjaplo	dengan nenek dan kakek	jawa
18864	rjaplo	dengan suami/istri (kalau sudah menikah)	jawa
18865	rjaplo	dengan sanak saudara (tante, om, sepupu, dll)	jawa
18866	rjaplo	dengan tetangga	jawa
18867	rjaplo	dengan pembantu	jawa
18868	rjaplo	apabila marah	jawa
18869	rjaplo	dalam mimpi	jawa
18870	rjaplo	berhitung	jawa
18871	rjaplo	kirim sms ke keluarga	jawa
18872	rjaplo	kirim sms ke teman	jawa
18873	rjaplo	kirim sms ke suami/istri 	jawa
18874	rjaplo	dalam jejaring sosial (fb)	jawa
18875	rjaplo	berdoa dalam hati	indonesia
18876	rjaplo	berdoa di tempat ibadah	indonesia
18877	rjaplo	di rumah	jawa
18878	rjaplo	di tempat kerja	jawa
18879	rjaplo	di pasar	jawa
18880	rjaplo	di warung	jawa
18881	rjaplo	di bank	indonesia
18882	rjaplo	di kantor pos	indonesia
18883	rjaplo	di sd dengan guru	indonesia
18884	rjaplo	di sd dengan teman sekelas	jawa
18885	rjaplo	di sma dengan guru	indonesia
18886	rjaplo	di sma dengan teman sekelas	jawa
18887	rjaplo	di kendaraan umum	jawa
18888	rjaplo	membaca novel/buku cerita	indonesia
18889	rjaplo	membaca koran	indonesia
18890	rjaplo	membaca majalah	indonesia
18891	rjaplo	mendengar musik	indonesia
18892	rjaplo	mendengar radio	indonesia
18893	rjaplo	menonton tv	indonesia
18894	bpkgyw	dengan ibu	indonesia
