session,birth_year,home_location,sex,caretaker,visit_frequency
INUYJK,1997,Jawa Tengah - Kabupaten Magelang,Perempuan,Keluarga,lebih dari 24
MTENQV,1995,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Perempuan,Tiyang sepuh,lebih dari 24
NXYPBQ,1995,Jawa Tengah - Kabupaten Klaten,Perempuan,Orangtua,lebih dari 24
ZZKTCZ,1996,DKI Jakarta - Kota Administrasi Jakarta Barat,Perempuan,Orangtua,lebih dari 24
YTDBDU,1996,Jawa Tengah - Kabupaten Pati,Perempuan,Kedua orangtua,3-5
JDDXUO,1996,Jawa Timur - Kabupaten Mojokerto,Laki,Orangtua,6-12
UHDAQT,1993,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Perempuan,Orangtua,1-2
DZEDBE,1995,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Laki,"Orangtua, saudara",lebih dari 24
ZKWTSG,1996,Jawa Timur - Kabupaten Magetan,Perempuan,Orangtua,
XOWFPW,1996,Jawa Timur - Kabupaten Tulungagung,Perempuan,Orangtua,6-12
PMOEHJ,1995,Jawa Tengah - Kabupaten Temanggung,Perempuan,"Ibu, adik, nenek",lebih dari 24
GPZTZJ,1996,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Perempuan,Asrama,3-5
GBOHVG,1995,Jawa Tengah - Kabupaten Klaten,Perempuan,"Ayah, ibu, adik",6-12
QBLACZ,1995,Nusa Tenggara Timur - Kota Kupang,Perempuan,Orang tua,lebih dari 24
BNIIYW,1994,"Nusa Tenggara Timur - Malaka, Belu",Perempuan,orang tua,
VLQVAV,1994,Nusa Tenggara Timur - Kabupaten Kupang,Perempuan,Orang tua,lebih dari 24
AZVAIS,1994,Nusa Tenggara Timur - Atambua,Laki,Orang tua,1-2
OUENNT,1993,Nusa Tenggara Timur - Kota Kupang,Perempuan,Orang tua,lebih dari 24
KUBWSI,1996,Nusa Tenggara Timur - Kabupaten Sabu Raijua,Laki,Orang tua,
SCBUPR,1993,Nusa Tenggara Timur - Kota Kupang,Perempuan,Orang Tua,3-5
BECHNX,1995,Nusa Tenggara Timur,Perempuan,Orang tua,lebih dari 24
KXREOV,1992,Nusa Tenggara Timur - Kota Kupang,Laki,Orang Tua,6-12
IMQYOH,1996,Nusa Tenggara Timur - Kabupaten Malaka,Perempuan,Orang Tua,
SIHTYQ,1996,Nusa Tenggara Timur - Kabupaten Manggarai Barat,Laki,Orang tua,1-2
TUCRBN,1996,Nusa Tenggara Timur - Flores,Laki,Orang tua,1-2
XUEONG,1993,Nusa Tenggara Timur - Kota Kupang,Perempuan,Orang tua,
EFKQMV,1996,Nusa Tenggara Timur - Kota Kupang,Perempuan,Orang Tua,lebih dari 24
ZRJESV,1997,Nusa Tenggara Timur - Kabupaten Sabu Raijua,Perempuan,Orang tua,1-2
PKYZPA,1994,Nusa Tenggara Timur - Kabupaten Flores Timur,Laki,Orangtua,1-2
ROJJZF,1995,Nusa Tenggara Timur - Kota Kupang,Laki,Orangtua,lebih dari 24
QMWFRN,1994,Nusa Tenggara Timur - Kota Kupang,Laki,Ayah dan ibu,lebih dari 24
GBYGSU,1993,Nusa Tenggara Timur - Kota Kupang,Perempuan,Orangtua,6-12
ZXSGOS,1995,Nusa Tenggara Timur - Kabupaten Lembata,Perempuan,Orangtua,3-5
NPBGVR,1996,Nusa Tenggara Timur - Kabupaten Timor Tengah Selatan,Perempuan,Orangtua,6-12
HKQLYS,1993,Nusa Tenggara Timur - Kota Kupang,Laki,Orangtua,1-2
AQPGJM,1995,Nusa Tenggara Timur - Kabupaten Sabu Raijua,Perempuan,Kakak kandung,lebih dari 24
SWIKYB,1996,Nusa Tenggara Timur - Kabupaten Rote Ndao,Laki,Orangtua,
NHVYQW,1995,Nusa Tenggara Timur - Kabupaten Sabu Raijua,Perempuan,Orangtua,3-5
RFDMKC,1996,Nusa Tenggara Timur - Kota Kupang,Laki,Orangtua,lebih dari 24
XLJJIA,1995,Nusa Tenggara Timur,Laki,Orangtua,3-5
MQAZOB,1995,Nusa Tenggara Timur - Kota Kupang,Laki,Wali,3-5
ZKDNCS,1995,Nusa Tenggara Timur - Kota Kupang,Perempuan,Orangtua,6-12
DARQDF,1993,Nusa Tenggara Timur - Kabupaten Malaka,Perempuan,"Bapak, Mama",1-2
QZWAPL,1995,Nusa Tenggara Timur - Atambua,Laki,Orangtua,1-2
RQOPFD,1996,Jawa Timur - Kabupaten Tuban,Laki,Orangtua,lebih dari 24
CLQKAP,1995,Daerah Istimewa Yogyakarta - Kabupaten Sleman,Perempuan,Orangtua,lebih dari 24
XUBKXA,1995,Jawa Tengah - Kabupaten Kebumen,Laki,"Ayah, ibu",lebih dari 24
HLTAHJ,1995,Daerah Istimewa Yogyakarta - Kabupaten Bantul,Perempuan,Orangtua,lebih dari 24
YKDHWS,1996,#NAME?,Perempuan,Orangtua,
FRHLNG,1995,Sumatera Selatan - Kabupaten Musi Rawas,Perempuan,Orangtua,lebih dari 24
BCDAYW,1995,Jawa Tengah - Kabupaten Magelang,Perempuan,Orangtua,
MZAIRA,1996,Lampung - Kabupaten Pesawaran,Laki,"Wali, Paman",3-5
VUHHGW,1996,Sulawesi Barat - Kabupaten Polewali Mandar,Laki,"Orangtua, keluarga",lebih dari 24
IYVJWO,1995,Banten - Kabupaten Serang,Laki,Orangtua,1-2
UTETFU,1996,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Laki,Orangtua,3-5
VAAAVH,1996,Jawa Barat - Kabupaten Karawang,Laki,"Bapak, Ibu",1-2
