"","EEQRRI","130503180035691272795385","1976","DKI Jakarta - Kota Administrasi Jakarta Barat","Laki","Orang tua dan adik"
"jydjdyjtyj","LTPQOE","130503180226182457511406","fdgd","Aceh - Kabupaten Aceh Barat","Laki","hsthtrjhrdtjdrtjytdj"
"","YKELNM","130503180746750131926358","1975","DKI Jakarta - Kota Administrasi Jakarta Selatan","Perempuan","Orang tua"
"","KOIFPS","130503201108334003054583","1989","Banten - Kabupaten Tangerang","Perempuan","Orang Tua"
"","JNZKWY","130503203501109957552188","1986","Aceh - Kabupaten Aceh Timur","Laki",""
"keren","WIYLSJ","130503205156141457471018","1987","Sumatera Utara - Kota Medan","Laki","keluarga"
"","YCINJS","130503222101725641800276","1989","Jawa Barat - Depok","Perempuan","Orang tua dan adik kandung"
"","XTDJGS","130504004227380713526345","1989","DKI Jakarta - Kota Administrasi Jakarta Utara","Perempuan","Orang tua"
"","QYXXTS","130510045643607305621075","1982","Jawa Barat - Kota Bandung","Perempuan",""
"sangat mendukung","IQVJFG","130510074210203363372664","1978","DKI Jakarta - Kota Administrasi Jakarta Barat","Perempuan","orang tua kandung"
"","ERWQNV","130510135558977134381047","1974","Jawa Barat - Kabupaten Sukabumi","Perempuan","orangtua, kakak, adik"
"","GZWPKN","130510162512160171497287","1980","DKI Jakarta - Kota Administrasi Jakarta Selatan","Perempuan","orang tua"
"","KAWLNM","130511141946342034933669","1986","Jawa Barat - Kota Bogor","Perempuan","Orang tua."
"bagus, praktis","SXOPFX","130513083600876246822252","1971","Jawa Barat - Kota Bandung","Laki","saya tumbuh dan besar bersama kedua orang tua dan empat orang kakak"
"","CJSYRU","130513115542754529890836",""," ","",""
"Kuesionernya oke","SWFRGI","130513200042231545238010","1987","Jawa Barat - Kabupaten Garut","Laki","Keluarga"
"","KTIWMA","130605025508807150821386","1981","Jawa Tengah - Kota Surakarta","Laki","orang tua"
"~","LLCJRR","130608020555320927651505","1991","Banten - Kota Tangerang","Laki","Orangtua"
"Suku tidak bisa di tulisSaya bersuku Jawa","ITIHHY","130704150237504057672665","1987","Jawa Timur - Kabupaten Nganjuk","Perempuan","Orangtua"
"Bagus","UXWZPO","130709091648561866853758","1982","Jambi - Kota Jambi","Laki","Dengan kakak dan adik."
"","LZKTRI","130718100950982016328348","1988","Jawa Barat - Kota Bekasi","Perempuan","Nenek"
"sangat baik","CQYTJQ","130724153806538525421404","1969","Nusa Tenggara Timur - Kabupaten Belu","Perempuan","orang tua"
"","UYEYYD","130818212954534755638660","1984","Nusa Tenggara Timur - Kabupaten Alor","Laki","Orangtua"
"","QTJBLB","130820095142389009647024","1959","Jawa Timur - Kabupaten Kediri","Perempuan","Orangtua"
"","IGXXXZ","130821085912454135517123","1984","Nusa Tenggara Timur - Kabupaten Alor","Laki","Orangtua"
"","OSZPHF","130909183614911889458167","1978","Jawa Barat - Kota Bogor","Perempuan","Ayah dan Ibu"
"","KGMDTY","131206065335192649598047",""," ","",""
"","VNCRNX","131220223253851850703404","1992","DKI Jakarta - Kota Administrasi Jakarta Timur","Laki","Orang tua dan saudara kandung"
"Jambi-Unja-November-2013","MFQDRS","131223092057618200884432","","Jambi - Kota Jambi","Perempuan","Orang tua"
"Jambi-Unja-November-2013","NUOLXJ","140123230823357215882558","1990","- Provinsi","Laki","Orang tua"
"Jambi-Unja-November-2013","OHMNAN","140123233158467508908174","1994","Jambi - Kota Jambi","Perempuan","Orang tua"
"Jambi-Unja-November-2013","BPTQVJ","140124160828505057095596","1993","Jambi - Kabupaten Muaro Jambi","Perempuan","Orang tua"
