,,,,,,,,,,,di warung,Bahasa Indonesia
,,,,,,,,,,,di bank,Bahasa Indonesia
,,,,,,,,,,,di kantor pos,Bahasa Indonesia
,,,,,,,,,,,di SD dengan guru,Bahasa Indonesia
,,,,,,,,,,,di SD dengan teman sekelas,Bahasa Indonesia
,,,,,,,,,,,di SMA dengan guru,Bahasa Indonesia
,,,,,,,,,,,di SMA dengan teman sekelas,Bahasa Indonesia
,,,,,,,,,,,di kendaraan umum,Bahasa Indonesia
,,,,,,,,,,,membaca novel/buku cerita,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,membaca koran,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,membaca majalah,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,mendengar musik,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,mendengar radio,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,menonton TV,"Bahasa Indonesia, Bahasa Inggris"
#22 5Mar UI,LMLLDP,1.30404E+23,1986,DKI Jakarta,Perempuan,Bahasa Betawi,Lancar,Sedikit lancar,Lancar,Sedikit lancar,dengan ibu,"Bahasa Jawa, Bahasa Indonesia"
,,,,,,Bahasa Jawa,Lancar,Agak lancar,Sedikit lancar,Tidak bisa,dengan bapak,Bahasa Indonesia
,,,,,,Bahasa Batak,Sedikit lancar,Tidak bisa,Sedikit lancar,Tidak bisa,dengan kakak/adik,Bahasa Betawi
,,,,,,,,,,,dengan nenek dan kakek,Bahasa Jawa
,,,,,,,,,,,dengan suami/istri (kalau sudah menikah),
,,,,,,,,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Bahasa Indonesia
,,,,,,,,,,,dengan tetangga,Bahasa Indonesia
,,,,,,,,,,,dengan pembantu,Bahasa Indonesia
,,,,,,,,,,,apabila marah,Bahasa Betawi
,,,,,,,,,,,dalam mimpi,
,,,,,,,,,,,berhitung,Bahasa Indonesia
,,,,,,,,,,,kirim sms ke keluarga,Bahasa Indonesia
,,,,,,,,,,,kirim sms ke teman,Okem
,,,,,,,,,,,kirim sms ke suami/istri ,Bahasa gaul
,,,,,,,,,,,dalam jejaring sosial (FB),Bahasa banci
,,,,,,,,,,,berdoa dalam hati,"Bahasa Indonesia, Bahasa Arab"
,,,,,,,,,,,berdoa di tempat ibadah,"Bahasa Indonesia, Bahasa Arab"
,,,,,,,,,,,di rumah,"Bahasa Jawa, Bahasa Betawi, Bahasa gaul"
,,,,,,,,,,,di tempat kerja,"Bahasa Indonesia, Bahasa gaul"
,,,,,,,,,,,di pasar,tergantung pasar dimana
,,,,,,,,,,,di warung,depends
,,,,,,,,,,,di bank,Bahasa Indonesia
,,,,,,,,,,,di kantor pos,Bahasa Indonesia
,,,,,,,,,,,di SD dengan guru,Bahasa Indonesia
,,,,,,,,,,,di SD dengan teman sekelas,Bahasa Betawi
,,,,,,,,,,,di SMA dengan guru,Bahasa Indonesia
,,,,,,,,,,,di SMA dengan teman sekelas,Bahasa Indonesia
,,,,,,,,,,,di kendaraan umum,Bahasa Indonesia
,,,,,,,,,,,membaca novel/buku cerita,Bahasa Indonesia
,,,,,,,,,,,membaca koran,Bahasa Indonesia
,,,,,,,,,,,membaca majalah,Bahasa Indonesia
,,,,,,,,,,,mendengar musik,Bahasa Indonesia
,,,,,,,,,,,mendengar radio,Bahasa Indonesia
,,,,,,,,,,,menonton TV,Bahasa Indonesia
,MHTLSE,1.30404E+23,1989,DKI Jakarta - Kota Administrasi Jakarta Selatan,Laki,indonesia,Lancar,Lancar,Lancar,Lancar,dengan ibu,indonesia
,,,,,,,,,,,dengan bapak,indonesia
,,,,,,,,,,,dengan kakak/adik,indonesia
,,,,,,,,,,,dengan nenek dan kakek,indonesia
,,,,,,,,,,,dengan suami/istri (kalau sudah menikah),indonesia
,,,,,,,,,,,"dengan sanak saudara (tante, om, sepupu, dll)",indonesia
,,,,,,,,,,,dengan tetangga,indonesia
,,,,,,,,,,,dengan pembantu,indonesia
,,,,,,,,,,,apabila marah,indonesia
,,,,,,,,,,,dalam mimpi,indonesia
,,,,,,,,,,,berhitung,indonesia
,,,,,,,,,,,kirim sms ke keluarga,indonesia
,,,,,,,,,,,kirim sms ke teman,indonesia
,,,,,,,,,,,kirim sms ke suami/istri ,indonesia
,,,,,,,,,,,dalam jejaring sosial (FB),indonesia
,,,,,,,,,,,berdoa dalam hati,indonesia
,,,,,,,,,,,berdoa di tempat ibadah,indonesia
,,,,,,,,,,,di rumah,indonesia
,,,,,,,,,,,di tempat kerja,indonesia
,,,,,,,,,,,di pasar,indonesia
,,,,,,,,,,,di warung,indonesia
,,,,,,,,,,,di bank,indonesia
,,,,,,,,,,,di kantor pos,indonesia
,,,,,,,,,,,di SD dengan guru,indonesia
,,,,,,,,,,,di SD dengan teman sekelas,indonesia
,,,,,,,,,,,di SMA dengan guru,indonesia
,,,,,,,,,,,di SMA dengan teman sekelas,indonesia
,,,,,,,,,,,di kendaraan umum,indonesia
,,,,,,,,,,,membaca novel/buku cerita,indonesia
,,,,,,,,,,,membaca koran,indonesia
,,,,,,,,,,,membaca majalah,indonesia
,,,,,,,,,,,mendengar musik,indonesia
,,,,,,,,,,,mendengar radio,indonesia
,,,,,,,,,,,menonton TV,indonesia
,UDIFDH,1.30404E+23,1971,Jawa Timur - Kabupaten Tulungagung,Laki,Jawa,Sangat lancar,Tidak bisa,Sangat lancar,Tidak bisa,dengan ibu,Bahasa Jawa
,,,,,,,,,,,dengan bapak,Bahasa Jawa
,,,,,,,,,,,dengan kakak/adik,Bahasa Jawa
,,,,,,,,,,,dengan nenek dan kakek,Bahasa Jawa
,,,,,,,,,,,dengan suami/istri (kalau sudah menikah),Bahasa Jawa
,,,,,,,,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Bahasa Jawa
,,,,,,,,,,,dengan tetangga,Bahasa Jawa
,,,,,,,,,,,dengan pembantu,Bahasa Jawa
,,,,,,,,,,,apabila marah,Bahasa Jawa
,,,,,,,,,,,dalam mimpi,"Bahasa Jawa, Bahasa Indonesia"
,,,,,,,,,,,berhitung,Bahasa Jawa
,,,,,,,,,,,kirim sms ke keluarga,"Bahasa Jawa, Bahasa Indonesia"
,,,,,,,,,,,kirim sms ke teman,"Bahasa Jawa, Bahasa Indonesia"
,,,,,,,,,,,kirim sms ke suami/istri ,Bahasa Jawa
,,,,,,,,,,,dalam jejaring sosial (FB),Bahasa Indonesia
,,,,,,,,,,,berdoa dalam hati,"Bahasa Jawa, Bahasa Indonesia"
,,,,,,,,,,,berdoa di tempat ibadah,"Bahasa Jawa, Bahasa Indonesia"
,,,,,,,,,,,di rumah,"Bahasa Jawa, Bahasa Indonesia"
,,,,,,,,,,,di tempat kerja,Bahasa Indonesia
,,,,,,,,,,,di pasar,Bahasa Indonesia
,,,,,,,,,,,di warung,Bahasa Indonesia
,,,,,,,,,,,di bank,Bahasa Indonesia
,,,,,,,,,,,di kantor pos,Bahasa Indonesia
,,,,,,,,,,,di SD dengan guru,Bahasa Indonesia
,,,,,,,,,,,di SD dengan teman sekelas,Bahasa Jawa
,,,,,,,,,,,di SMA dengan guru,Bahasa Indonesia
,,,,,,,,,,,di SMA dengan teman sekelas,Bahasa Jawa
,,,,,,,,,,,di kendaraan umum,Bahasa Indonesia
,,,,,,,,,,,membaca novel/buku cerita,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,membaca koran,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,membaca majalah,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,mendengar musik,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,mendengar radio,Bahasa Indonesia
